ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
0,White Alone,0,Not Hispanic or Latino,2022,2022,713,"Inglewood, CA",16000US0636546,inglewood-ca,5685,0.053227347
0,White Alone,1,Hispanic or Latino,2022,2022,1565,"Inglewood, CA",16000US0636546,inglewood-ca,12763,0.119497032
1,Black or African American Alone,0,Not Hispanic or Latino,2022,2022,2043,"Inglewood, CA",16000US0636546,inglewood-ca,40991,0.3837893
1,Black or African American Alone,1,Hispanic or Latino,2022,2022,621,"Inglewood, CA",16000US0636546,inglewood-ca,1234,0.011553658
2,American Indian & Alaska Native Alone,0,Not Hispanic or Latino,2022,2022,107,"Inglewood, CA",16000US0636546,inglewood-ca,151,0.001413778
2,American Indian & Alaska Native Alone,1,Hispanic or Latino,2022,2022,305,"Inglewood, CA",16000US0636546,inglewood-ca,891,0.008342228
3,Asian Alone,0,Not Hispanic or Latino,2022,2022,731,"Inglewood, CA",16000US0636546,inglewood-ca,2567,0.02403423
3,Asian Alone,1,Hispanic or Latino,2022,2022,235,"Inglewood, CA",16000US0636546,inglewood-ca,327,0.003061626
4,Native Hawaiian & Other Pacific Islander Alone,0,Not Hispanic or Latino,2022,2022,256,"Inglewood, CA",16000US0636546,inglewood-ca,238,0.002228339
4,Native Hawaiian & Other Pacific Islander Alone,1,Hispanic or Latino,2022,2022,40,"Inglewood, CA",16000US0636546,inglewood-ca,33,0.000308971
5,Some Other Race Alone,0,Not Hispanic or Latino,2022,2022,445,"Inglewood, CA",16000US0636546,inglewood-ca,808,0.007565118
5,Some Other Race Alone,1,Hispanic or Latino,2022,2022,2190,"Inglewood, CA",16000US0636546,inglewood-ca,26436,0.247514185
6,Two or More Races,0,Not Hispanic or Latino,2022,2022,937.4710662,"Inglewood, CA",16000US0636546,inglewood-ca,3727,0.034895043
6,Two or More Races,1,Hispanic or Latino,2022,2022,1530.87328,"Inglewood, CA",16000US0636546,inglewood-ca,10955,0.102569144
0,White Alone,0,Not Hispanic or Latino,2021,2021,737,"Inglewood, CA",16000US0636546,inglewood-ca,4773,0.044110308
0,White Alone,1,Hispanic or Latino,2021,2021,1793,"Inglewood, CA",16000US0636546,inglewood-ca,18943,0.175064229
1,Black or African American Alone,0,Not Hispanic or Latino,2021,2021,1850,"Inglewood, CA",16000US0636546,inglewood-ca,43135,0.398637783
1,Black or African American Alone,1,Hispanic or Latino,2021,2021,548,"Inglewood, CA",16000US0636546,inglewood-ca,1097,0.01013807
2,American Indian & Alaska Native Alone,0,Not Hispanic or Latino,2021,2021,184,"Inglewood, CA",16000US0636546,inglewood-ca,243,0.002245717
2,American Indian & Alaska Native Alone,1,Hispanic or Latino,2021,2021,321,"Inglewood, CA",16000US0636546,inglewood-ca,904,0.008354435
3,Asian Alone,0,Not Hispanic or Latino,2021,2021,581,"Inglewood, CA",16000US0636546,inglewood-ca,2389,0.022078258
3,Asian Alone,1,Hispanic or Latino,2021,2021,240,"Inglewood, CA",16000US0636546,inglewood-ca,310,0.002864906
4,Native Hawaiian & Other Pacific Islander Alone,0,Not Hispanic or Latino,2021,2021,310,"Inglewood, CA",16000US0636546,inglewood-ca,461,0.004260392
4,Native Hawaiian & Other Pacific Islander Alone,1,Hispanic or Latino,2021,2021,77,"Inglewood, CA",16000US0636546,inglewood-ca,72,0.000665397
5,Some Other Race Alone,0,Not Hispanic or Latino,2021,2021,426,"Inglewood, CA",16000US0636546,inglewood-ca,652,0.006025544
5,Some Other Race Alone,1,Hispanic or Latino,2021,2021,2085,"Inglewood, CA",16000US0636546,inglewood-ca,24264,0.224238952
6,Two or More Races,0,Not Hispanic or Latino,2021,2021,780.708012,"Inglewood, CA",16000US0636546,inglewood-ca,3049,0.028177735
6,Two or More Races,1,Hispanic or Latino,2021,2021,1619.607977,"Inglewood, CA",16000US0636546,inglewood-ca,7914,0.073138273
0,White Alone,0,Not Hispanic or Latino,2020,2020,568,"Inglewood, CA",16000US0636546,inglewood-ca,4717,0.043152897
0,White Alone,1,Hispanic or Latino,2020,2020,2056,"Inglewood, CA",16000US0636546,inglewood-ca,21938,0.200697106
1,Black or African American Alone,0,Not Hispanic or Latino,2020,2020,1852,"Inglewood, CA",16000US0636546,inglewood-ca,43488,0.397844642
1,Black or African American Alone,1,Hispanic or Latino,2020,2020,450,"Inglewood, CA",16000US0636546,inglewood-ca,1152,0.010538931
2,American Indian & Alaska Native Alone,0,Not Hispanic or Latino,2020,2020,268,"Inglewood, CA",16000US0636546,inglewood-ca,400,0.003659351
2,American Indian & Alaska Native Alone,1,Hispanic or Latino,2020,2020,333,"Inglewood, CA",16000US0636546,inglewood-ca,929,0.008498843
3,Asian Alone,0,Not Hispanic or Latino,2020,2020,626,"Inglewood, CA",16000US0636546,inglewood-ca,2634,0.024096826
3,Asian Alone,1,Hispanic or Latino,2020,2020,228,"Inglewood, CA",16000US0636546,inglewood-ca,269,0.002460914
